# Notes : Entity List : Filtered by Abundance (20000.0 - 17259352.0) in the Raw Data 
#Interpretation : Pre-Post
#Experiment : AQ pos unique to Salmon 100percent of files - found in plasma Quant
#Flag Value: [Present, Marginal]
#Entities where at least 2 out of 162 samples have flags in [Present, Marginal]
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.AQ pos unique to Salmon 100% of files - found in plasma Quant_2021_Nov_19_09_47_22
# Owner : gxuser
# Created On : Fri Nov 19 09:59:14 MST 2021
Compound	Number Passed	report.results_1(raw)	report.results_10(raw)	report.results_100(raw)	report.results_101(raw)	report.results_102(raw)	report.results_103(raw)	report.results_104(raw)	report.results_105(raw)	report.results_106(raw)	report.results_107(raw)	report.results_108(raw)	report.results_109(raw)	report.results_11(raw)	report.results_110(raw)	report.results_111(raw)	report.results_112(raw)	report.results_113(raw)	report.results_114(raw)	report.results_115(raw)	report.results_116(raw)	report.results_117(raw)	report.results_118(raw)	report.results_119(raw)	report.results_12(raw)	report.results_120(raw)	report.results_121(raw)	report.results_122(raw)	report.results_123(raw)	report.results_124(raw)	report.results_125(raw)	report.results_126(raw)	report.results_127(raw)	report.results_128(raw)	report.results_129(raw)	report.results_13(raw)	report.results_130(raw)	report.results_131(raw)	report.results_132(raw)	report.results_133(raw)	report.results_134(raw)	report.results_135(raw)	report.results_136(raw)	report.results_137(raw)	report.results_138(raw)	report.results_139(raw)	report.results_14(raw)	report.results_140(raw)	report.results_141(raw)	report.results_142(raw)	report.results_143(raw)	report.results_144(raw)	report.results_145(raw)	report.results_146(raw)	report.results_147(raw)	report.results_148(raw)	report.results_149(raw)	report.results_15(raw)	report.results_150(raw)	report.results_151(raw)	report.results_152(raw)	report.results_153(raw)	report.results_154(raw)	report.results_155(raw)	report.results_156(raw)	report.results_157(raw)	report.results_158(raw)	report.results_159(raw)	report.results_16(raw)	report.results_160(raw)	report.results_161(raw)	report.results_162(raw)	report.results_163(raw)	report.results_164(raw)	report.results_165(raw)	report.results_17(raw)	report.results_18(raw)	report.results_19(raw)	report.results_2(raw)	report.results_20(raw)	report.results_21(raw)	report.results_22(raw)	report.results_23(raw)	report.results_24(raw)	report.results_25(raw)	report.results_26(raw)	report.results_27(raw)	report.results_28(raw)	report.results_29(raw)	report.results_3(raw)	report.results_30(raw)	report.results_31(raw)	report.results_32(raw)	report.results_33(raw)	report.results_34(raw)	report.results_35(raw)	report.results_36(raw)	report.results_37(raw)	report.results_38(raw)	report.results_39(raw)	report.results_40(raw)	report.results_41(raw)	report.results_42(raw)	report.results_43(raw)	report.results_44(raw)	report.results_45(raw)	report.results_46(raw)	report.results_47(raw)	report.results_48(raw)	report.results_49(raw)	report.results_5(raw)	report.results_50(raw)	report.results_51(raw)	report.results_52(raw)	report.results_53(raw)	report.results_54(raw)	report.results_55(raw)	report.results_56(raw)	report.results_57(raw)	report.results_58(raw)	report.results_59(raw)	report.results_6(raw)	report.results_60(raw)	report.results_61(raw)	report.results_62(raw)	report.results_63(raw)	report.results_64(raw)	report.results_65(raw)	report.results_66(raw)	report.results_67(raw)	report.results_68(raw)	report.results_69(raw)	report.results_7(raw)	report.results_71(raw)	report.results_72(raw)	report.results_73(raw)	report.results_74(raw)	report.results_75(raw)	report.results_76(raw)	report.results_78(raw)	report.results_79(raw)	report.results_8(raw)	report.results_80(raw)	report.results_81(raw)	report.results_82(raw)	report.results_83(raw)	report.results_84(raw)	report.results_85(raw)	report.results_86(raw)	report.results_87(raw)	report.results_88(raw)	report.results_89(raw)	report.results_9(raw)	report.results_90(raw)	report.results_91(raw)	report.results_92(raw)	report.results_93(raw)	report.results_94(raw)	report.results_95(raw)	report.results_96(raw)	report.results_97(raw)	report.results_98(raw)	report.results_99(raw)	report.results_Batch_1_Instrument_QC_5(raw)	report.results_Batch_1_Instrument_QC_6(raw)	report.results_Batch_1_Instrument_QC_7(raw)	report.results_Batch_1_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_5(raw)	report.results_Batch_2_Instrument_QC_6(raw)	report.results_Batch_2_Instrument_QC_7(raw)	report.results_Batch_2_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_9(raw)	report.results_Batch_3_Instrument_QC_5(raw)	report.results_Batch_3_Instrument_QC_6(raw)	report.results_Batch_3_Instrument_QC_7(raw)	report.results_Batch_3_Instrument_QC_8(raw)	report.results_Batch_3_Instrument_QC_9(raw)	report.results_Batch_4_Instrument_QC_10(raw)	report.results_Batch_4_Instrument_QC_5(raw)	report.results_Batch_4_Instrument_QC_6(raw)	report.results_Batch_4_Instrument_QC_7(raw)	report.results_Batch_4_Instrument_QC_8(raw)	report.results_Batch_4_Instrument_QC_9(raw)	report.results_Blank_Plus_Day_1(raw)	report.results_Blank_Plus_Day_4(raw)	report.results_Blank_Plus_Day_8(raw)	Retention Time	CASNumber	Product Mass	Compound Name	Mass Column	Measured Retention Time
LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	41	13530.824	19758.52	23971.93	22783.268	31308.37	22178.69	24308.965	16881.787	20802.125	9267.663	17787.295	1122.3833	24151.56	20105.807	27413.828	26328.31	14696.608	14348.456	33452.77	21514.484	16547.623	13760.956	29768.1	12490.949	30195.38	20594.03	26884.557	23232.727	22073.842	21552.568	24888.701	16040.15	34287.797	16249.335	11610.173	31331.867	10527.632	25717.867	27758.457	10315.044	34430.098	24367.672	18506.357	21344.4	20849.088	18868.713	29071.514	23653.65	23532.264	42870.04	14237.555	9758.713	26290.262	20246.635	16489.145	21757.186	13955.143	12577.604	21451.146	18733.26	23283.111	23238.695	22937.482	28008.1	31634.01	16716.615	17492.53	13311.356	16146.521	21229.645	12727.023	26282.807	28166.72	22530.373	20483.666	19564.49	20845.705	10970.268	9481.431	24242.658	19242.344	8673.653	9820.899	26325.293	17787.988	17631.814	11084.493	22091.291	20931.305	20909.258	42407.293	34139.312	21064.465	23175.553	27081.965	11146.719	12263.467	16190.24	11447.182	27279.555	21206.2	20521.355	21936.938	52760.562	10103.405	26885.947	20787.176	25405.463	21622.053	22507.969	16657.588	14374.103	27325.523	20932.83	17787.348	17666.043	21741.412	21815.785	20992.223	18255.242	23706.432	26561.102	29070.252	20736.17	19808.219	23895.014	26543.111	13196.991	12930.808	23269.201	17139.291	11765.08	22983.107	34420.805	18085.193	16509.658	56217.73	23050.8	22527.385	23208.727	27889.143	26707.736	37023.305	18594.232	20769.043	21703.53	14899.147	25098.371	27849.045	24573.682	21813.111	25900.469	21988.533	1002.089	34555.715	14815.591	23095.74	39228.18	17855.416	18299.15	26961.34	12430.136	14681.88	13445.8	14334.921	13011.928	14134.567	13864.03	13571.981	13002.931	14796.807	15156.59	14050.737	14960.719	14468.629	13144.895	11814.885	14483.638	11818.299	12484.621	12409.82	13812.62	1.0E-5	1.0E-5	1.0E-5	12.028		548.276	LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	0.0	11.8744
OPC-6:0	161	39214.867	83985.73	65622.76	1.0E-5	56346.93	39641.98	52079.926	35472.633	30804.762	79983.84	57705.84	46918.27	41729.13	42606.758	40714.86	32603.727	33325.152	32960.477	51973.855	41220.53	33895.812	59769.633	23705.312	34058.242	26021.857	45270.66	43664.7	36839.727	56271.207	39239.883	45616.46	34462.895	39625.758	21912.424	47092.43	15802.072	39682.37	49209.305	63339.203	20840.877	40441.195	84153.81	59542.42	38046.836	53201.562	35199.71	42255.63	75416.44	41128.68	48491.78	39974.555	37781.23	31675.236	38212.855	37627.598	33605.23	54112.242	54060.4	40321.89	65428.742	115534.48	77280.04	46300.83	39396.41	35149.918	48179.934	52542.31	35515.117	42307.617	41110.203	52570.254	5273.2466	32483.97	36180.58	31597.098	44990.26	40897.098	36692.54	62430.902	38763.574	60939.34	42648.7	38161.69	36733.37	44161.734	65100.863	44639.133	56796.062	36861.42	30359.82	55333.68	38843.598	91087.31	55987.707	6984.7334	52096.426	34979.695	43699.88	21159.799	87085.6	32622.418	37989.617	22299.123	35196.887	49999.47	36447.285	43428.953	9932.473	62312.484	44659.254	42139.867	21976.252	40141.74	34426.004	66234.01	54501.105	45415.89	71102.766	18667.377	56917.44	61866.105	61117.594	40223.67	85625.57	81169.016	18315.354	33945.375	36521.758	23405.424	48504.145	63109.67	50425.8	42305.836	77225.35	33742.324	79891.945	48734.08	28587.64	78549.72	60588.547	41863.65	31311.66	34242.07	27384.54	38663.57	37285.355	44660.516	63808.4	44157.453	49645.598	26065.39	51119.84	42314.844	41418.137	59334.043	52134.957	19944.34	49122.945	43779.004	50730.05	35014.7	50673.047	13983.801	14379.048	25685.09	31467.355	40162.715	36455.535	29765.982	35795.8	29516.123	34820.664	19311.572	28321.18	27690.98	30553.635	31195.11	29429.285	27061.895	26628.74	27245.357	38826.363	64431.473	67206.47	61000.035	13.236	136768-22-4	249.1851	OPC-6:0	0.0	13.290067
PC(20:0/18:4(6Z,9Z,12Z,15Z))	121	159418.95	177701.72	97727.08	1.0E-5	107993.125	1.0E-5	170192.9	264359.84	469360.03	191941.73	209283.83	270545.34	134277.36	119158.195	1.0E-5	143173.95	47354.117	315110.7	1.0E-5	124608.71	1.0E-5	1.0E-5	63402.54	221803.56	129920.92	209388.86	110780.29	630046.3	299728.8	239411.22	425933.34	205216.88	58116.188	78242.67	307887.38	157624.12	39211.652	1.0E-5	123852.9	140866.97	53997.12	226390.58	60002.266	1.0E-5	81802.1	461716.3	584132.0	109645.05	1.0E-5	1181493.0	171603.28	96703.836	167422.97	1.0E-5	139491.14	171370.25	105303.29	1.0E-5	231015.11	1.0E-5	188174.39	1.0E-5	71492.375	176327.34	121546.77	92141.0	71746.44	63495.46	132800.2	73336.07	9050.82	72971.805	198152.61	171447.36	198988.95	58380.02	198018.25	1.0E-5	11528.551	1.0E-5	88808.336	88424.42	1.0E-5	179644.97	1.0E-5	11491.743	1.0E-5	505661.22	1.0E-5	241981.88	315058.44	346448.62	1.0E-5	84054.414	185846.6	95787.13	140956.23	6305.65	134043.25	178188.97	458031.56	96086.17	1.0E-5	122619.69	52930.89	97680.98	221722.0	247047.95	1.0E-5	41072.95	1.0E-5	101216.75	202275.11	203322.2	254911.67	237527.44	587472.7	210361.16	28615.633	997240.2	90646.414	1.0E-5	261534.78	338747.34	352217.7	155964.47	1.0E-5	382913.88	34541.477	1.0E-5	163534.72	1.0E-5	219019.38	306924.38	139109.69	1.0E-5	1124888.2	120020.414	230816.33	67996.89	134673.5	239852.7	166857.4	28018.906	471331.78	9612.095	1.0E-5	45017.594	185398.31	247518.31	216234.03	23135.523	57268.203	269829.78	474148.97	202189.73	132029.45	53186.94	1.0E-5	1.0E-5	156466.3	1.0E-5	60086.33	1.0E-5	179508.7	1061399.1	139999.7	137798.61	355503.03	218241.98	1.0E-5	215763.3	65929.44	54363.19	116630.13	109676.695	103370.766	182376.78	84388.61	517943.38	180043.48	1.0E-5	1.0E-5	939.127	167.86754	15.115891		810.6	PC(20:0/18:4(6Z,9Z,12Z,15Z))	0.0	14.995434
C51 - 14.315125	81	326659.66	332877.97	455408.28	372055.56	381133.06	349773.2	364217.12	390107.56	626609.8	332353.62	443505.53	470645.25	348521.94	522062.22	408742.22	199883.42	243880.89	539768.8	372026.12	379185.0	227793.45	321178.34	430946.3	374325.66	126777.195	450582.16	184100.69	453819.97	182869.53	244759.36	244370.86	305417.3	251431.28	426906.94	426489.88	280383.4	575767.94	302793.25	199235.48	333704.2	196124.19	349142.7	256786.23	289767.03	240103.08	358595.2	232556.16	253807.55	256088.97	196263.67	429649.56	344495.62	497616.47	326961.7	301215.72	292583.9	489996.9	447985.28	504076.3	472726.4	641193.4	344277.16	301479.84	178763.95	338109.97	393767.53	301930.3	182035.02	482425.12	423602.88	393264.1	348869.16	457490.0	453541.3	418694.62	201346.28	431599.66	416951.56	204239.27	521952.16	400892.0	435313.75	205668.08	372730.03	454431.7	212311.69	155237.3	427472.53	368819.97	173076.97	198639.25	145819.53	175423.08	151733.38	190356.16	146386.58	278949.78	298573.56	183201.08	243411.62	330507.22	207393.16	266462.53	459361.53	264993.34	508867.7	498351.0	207062.89	364200.94	485521.47	325649.4	346664.1	582212.56	335441.84	555946.9	418348.56	557762.94	388668.7	464900.25	326760.7	383493.22	404491.28	398816.97	458922.44	513348.6	270269.1	430481.22	580240.94	662889.25	370938.78	357523.16	391192.5	393774.06	283959.72	340105.22	362016.9	665977.94	463829.4	311827.25	518147.84	296686.34	532050.0	348920.84	486915.97	452322.06	359164.94	315569.22	422882.75	340956.03	572169.25	181746.23	376291.22	426094.6	445387.16	629211.5	386253.34	540323.1	732124.1	480878.9	411667.25	434875.78	328574.1	134935.69	109294.766	105135.38	109968.73	130917.5	114344.1	111290.76	113968.81	111954.22	122250.695	109342.055	104933.18	100992.45	104442.805	91621.92	117279.51	93024.66	84470.92	96148.79	96390.87	385553.1	562813.5	180838.2	14.315125		332.288	C51 - 14.315125	0.0	14.2421
10,20-Dihydroxyeicosanoic acid	154	42707.93	12084.094	45144.402	8654.085	32669.953	11270.141	40913.355	37646.676	37833.938	39313.84	26496.492	2691.2537	727.5463	22345.105	11739.808	7093.098	26385.396	7400.2383	517.5122	7838.5215	41949.793	10847.388	39063.652	4784.631	46524.793	2395.253	6512.0757	31280.852	42092.35	23539.197	14172.091	9972.567	24248.162	16191.734	1492.5587	38704.7	29324.877	4169.831	27661.807	17633.744	18343.729	53211.254	18204.334	9653.215	29392.023	13688.327	10142.725	15479.245	14638.323	35895.055	16792.77	15520.565	27458.104	1085.1813	62252.363	14659.566	3651.4324	23609.795	17844.521	16220.078	28461.055	47805.34	2197.7058	7942.937	9623.931	4253.7773	20346.41	16700.766	46458.4	17440.791	28891.666	2474.2732	17989.684	14147.792	37253.332	56200.7	1163.1356	3096.0083	73525.78	13497.957	13585.733	13652.212	26602.39	22554.768	16260.38	2985.7786	33618.496	41268.62	8612.459	8378.011	12406.685	2711.227	61552.34	21570.29	7731.6416	12539.688	42932.684	13704.304	31304.17	20487.605	20830.234	19116.598	73158.26	23196.367	19035.504	14609.277	22301.512	6831.646	19351.084	32915.73	16957.87	45593.035	9290.069	53725.383	57513.05	25369.174	4886.7046	29262.166	16403.803	35293.586	26190.203	2216.568	8963.051	52609.547	22342.94	12844.6455	9354.122	21342.035	58486.348	18868.547	31603.963	22384.348	1504.2301	8169.5903	27249.986	3443.075	27143.514	32148.576	50239.902	2745.02	2407.1018	76950.58	3153.3928	9776.857	10891.678	5665.201	24275.27	1867.4283	6800.086	14526.838	19861.209	17966.064	33206.43	11966.095	31400.254	49888.234	47200.723	32126.102	20173.824	3667.3425	3999.8828	18560.068	8169.443	11980.128	11152.244	1842.7736	13734.507	9410.118	9096.59	5997.626	12781.632	8883.772	1094.3699	1021.1723	6844.269	1877.841	6190.8154	9982.883	11086.638	876.6765	3066.2747	7549.0176	538.85547	1449.9797	980.41754	13.878	120727-26-6	367.2827	10,20-Dihydroxyeicosanoic acid	0.0	13.753667
C53 - 1.3899997	26	157686.69	1.0E-5	1.0E-5	1093393.6	1063461.2	1.0E-5	62723.48	138249.73	1.0E-5	8964.5	1.0E-5	1033586.94	1.0E-5	3445929.8	1.0E-5	1198035.6	1.0E-5	3274973.2	1.0E-5	1.0E-5	1866790.1	174288.94	1.0E-5	3050420.5	1.0E-5	1.0E-5	2129701.2	149729.83	1.0E-5	1.0E-5	38025.195	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	113963.586	12912.92	2862211.0	1.0E-5	97456.15	1.0E-5	1.0E-5	171695.5	1.0E-5	1.0E-5	2279354.2	1.0E-5	141964.8	1.0E-5	156548.3	1.0E-5	2200726.5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	35700.04	1.0E-5	1048413.56	1.0E-5	1.0E-5	1.0E-5	979232.8	1.0E-5	1.0E-5	1.0E-5	769043.25	2227062.0	1.0E-5	1.0E-5	1.0E-5	100857.84	2524448.8	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2304617.8	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2242678.0	1352436.8	1.0E-5	1.0E-5	11840.037	1.0E-5	1.0E-5	1130057.9	1.0E-5	2164880.8	1000756.7	129470.984	1360428.1	1.0E-5	1.0E-5	959340.4	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2387196.2	1.0E-5	1.0E-5	3052415.0	1.0E-5	1.0E-5	1.0E-5	2247057.5	1201819.8	1.0E-5	1042200.8	1.0E-5	1.0E-5	1.0E-5	2596366.2	1.0E-5	1.0E-5	1139995.0	418331.3	112625.72	1.0E-5	1.0E-5	1.0E-5	1030049.06	1.0E-5	1.0E-5	1112234.4	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1105674.9	1082953.9	2547831.2	91528.0	133524.2	1.0E-5	1243859.0	1.0E-5	1.0E-5	1365273.8	1.0E-5	1889614.9	916462.8	1.0E-5	1.0E-5	1.0E-5	2116421.2	315266.03	1.0E-5	276461.3	1.0E-5	1.0E-5	851236.3	983902.7	859371.7	913108.5	920911.06	819177.1	346369.25	870205.6	840405.7	975781.75	678079.0	706359.44	755442.0	766775.25	739707.44	880191.7	797005.25	740986.7	720274.56	785142.6	32304.236	1.0E-5	1.0E-5	1.3899997		198.9534	C53 - 1.3899997	0.0	1.3192834
DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	156	305208.7	89080.54	48989.168	189907.84	343615.22	560706.94	120710.586	8929.104	124465.0	64446.03	72763.07	67002.67	195811.33	161279.98	122022.266	306024.62	55667.492	132045.52	229276.11	82000.84	101026.71	238368.73	76489.94	81165.11	130837.24	98777.72	64848.324	51999.0	159672.67	389918.06	51857.934	90127.11	101944.65	537443.4	109141.98	91815.06	48573.78	104017.07	237622.36	136669.5	208335.14	86001.82	36296.973	35816.32	205244.47	114583.305	177533.53	118580.375	187140.08	76298.23	78156.23	89117.76	52734.246	336201.44	137279.17	278639.2	117088.43	95343.42	53255.367	116527.055	119953.984	124474.09	223383.86	1255250.2	141964.72	135592.31	103358.5	105017.94	91777.9	67805.836	80472.914	179627.47	195619.25	39094.395	372791.72	167958.19	103089.36	102340.086	211102.12	161497.0	6338.7905	248852.77	129929.96	108809.02	65586.375	307153.88	151178.67	88191.54	95291.59	210007.17	824106.7	182357.45	4836.336	534143.4	1987463.0	70237.23	110095.734	117767.18	11308.662	204801.5	561172.3	108188.82	97001.62	461339.1	49395.145	23583.482	124143.08	144340.47	142809.75	143773.98	91062.21	135711.11	179606.75	100597.24	7885.551	128138.58	321677.16	126508.86	600540.5	201084.2	636585.44	90546.016	112271.55	1068156.6	94036.164	226106.31	115728.375	480000.4	526784.9	80773.84	260616.88	118127.17	141849.84	360885.97	3848.107	851616.94	219490.12	152582.1	110325.4	1.0E-5	880886.1	89239.44	416366.47	191659.72	184958.53	218785.48	112683.695	218857.05	105430.76	87280.81	65979.05	94807.57	54541.51	99000.79	46217.734	54724.938	593406.56	186534.06	136637.67	356200.2	66922.234	114243.586	1.0E-5	475756.88	179879.64	112635.27	14977.988	58072.87	117592.54	84387.22	444198.12	1.0E-5	149870.25	269855.06	153458.02	65852.79	182884.7	8118.953	207099.6	59692.824	48602.43	60803.402	428.22525	1448.1472	387.9379	17.882		732.5574	DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	0.0	17.752184
8-Hydroxypurine	123	14088.161	37249.01	25298.717	49852.867	1.0E-5	17791.24	23480.621	50627.805	22705.287	19546.977	100222.74	9021.174	40208.56	1.0E-5	66615.11	17209.525	77641.336	1.0E-5	11510.168	1.0E-5	1.0E-5	1.0E-5	8353.469	10407.14	5051.194	1.0E-5	11279.266	48140.67	1.0E-5	46485.16	11259.4795	24818.824	64490.344	1.0E-5	1.0E-5	64842.38	15742.975	50992.613	51103.19	11849.406	10490.9375	48998.746	40295.24	62223.926	11732.022	27591.205	47076.25	72854.414	1.0E-5	15139.885	62657.617	38901.414	6908.704	30528.541	1.0E-5	50482.113	32123.354	12071.669	9758.11	66363.99	34809.707	5595.545	6917.154	54723.11	14702.272	38690.793	55714.6	13670.579	31912.45	48501.688	16358.043	26520.785	24269.574	14515.561	51904.242	35104.34	68338.875	42160.895	45584.066	43068.402	16414.674	14604.969	1.0E-5	63530.07	25255.56	20177.58	13348.861	5920.6753	29561.91	7296.057	8010.502	1.0E-5	25825.486	16522.607	50022.695	13742.77	1.0E-5	6830.6597	16273.856	11990.76	35829.75	59131.906	1.0E-5	74100.29	11678.291	24796.445	1.0E-5	59265.63	32632.957	15011.616	11548.463	1.0E-5	39532.207	6004.939	30370.887	49417.58	13530.865	28409.512	38392.18	12731.952	16283.224	50701.734	1.0E-5	7357.014	1.0E-5	17697.057	54616.004	3727.7642	1.0E-5	13271.931	46677.016	15023.285	7727.1597	1.0E-5	1.0E-5	56875.402	32036.252	52986.414	42192.957	42556.47	18800.79	22042.246	44864.22	48319.918	55039.094	38674.26	51923.7	1.0E-5	60750.184	1.0E-5	19880.453	20124.438	1.0E-5	59505.977	15471.761	35322.016	60070.96	31284.27	7607.5903	10207.525	1.0E-5	1.0E-5	17230.803	18419.113	1.0E-5	15415.176	29824.477	18417.666	3650.496	43557.984	13659.204	34342.406	40683.043	1.0E-5	27204.197	29468.559	18125.242	3431.6465	25245.793	64199.445	42521.32	82500.266	905113.25	665999.75	844559.25	1.2269999	13230-97-2	121.0509	8-Hydroxypurine	0.0	1.3027166
LysoPE(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	142	50241.016	52312.58	74351.27	113801.56	93583.305	42402.6	143144.72	96621.11	67617.38	71886.61	53445.348	41218.65	86366.914	66431.32	102910.12	43735.29	56446.363	89639.59	105368.71	22238.63	77201.73	76074.84	51367.83	46608.08	61699.35	39817.504	72869.305	46947.082	51812.984	81896.12	86049.03	99249.79	126413.92	156394.77	35941.68	53343.996	62975.484	59327.49	175657.47	121253.77	131249.88	119084.03	44083.477	132880.73	49738.805	66664.766	276788.22	50208.66	23851.846	137442.84	54494.035	41608.145	71030.484	86345.39	58553.2	51316.785	45644.348	33627.168	60860.27	25298.875	78311.18	118378.195	101823.21	177557.75	114833.164	95557.91	65102.71	89487.46	93235.74	34950.324	63170.957	96907.07	81384.9	64120.05	53299.547	68550.12	21633.486	27630.54	87696.68	48686.152	70566.16	70215.234	32372.908	30985.326	80157.15	54987.53	30615.404	54589.45	105586.79	107597.12	221272.34	85316.04	48865.52	72950.07	143862.0	75200.125	84055.945	70413.35	85665.234	179856.7	78299.76	44752.645	65233.113	82084.445	36478.883	37677.934	87229.74	114859.0	66226.41	139268.31	43009.844	72320.055	112198.67	49018.72	114306.29	34925.848	137673.52	175724.05	72382.375	103246.8	70402.21	89815.73	93962.15	76740.88	72011.57	85533.28	64800.867	78216.45	73456.11	77946.24	92650.586	82630.74	30014.053	62552.83	70642.734	96569.3	152602.84	35386.438	48133.76	97475.805	71629.734	86461.055	151857.9	111980.41	194707.33	74759.77	91911.85	51674.4	91603.414	150470.39	122891.055	61753.39	35811.13	65360.062	127181.39	89474.85	101253.83	64833.902	82401.375	43863.07	102386.45	22329.879	178392.77	120835.44	130415.56	144127.28	154699.97	152880.84	136205.36	132153.67	146105.45	129227.75	138817.56	116516.31	107764.57	117044.43	82833.22	111345.95	132502.11	130747.266	148333.83	103536.66	366.40625	238.01268	332.75183	12.154003		528.3096	LysoPE(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	0.0	12.172433
C74 - 1.934	152	30657.748	5717.6865	71770.73	12409.359	78811.46	5955.371	33190.664	89968.07	69033.24	36810.777	23958.873	8986.193	24344.666	3306.093	40961.23	24206.162	8631.45	5884.798	24276.738	8110.968	20648.389	12413.138	8221.885	39141.336	29116.873	8913.643	29451.682	9919.399	48365.23	60438.008	2938.4404	24441.541	21282.566	4316.2427	3245.8281	14457.561	7566.002	6574.9106	19930.889	28068.945	5830.144	33631.793	17326.121	21832.467	60311.32	56717.117	17677.467	34245.44	46855.062	5297.174	2511.1912	49103.008	68834.85	4746.002	40227.402	16408.006	4372.499	30538.514	23667.53	4799.136	9103.483	61057.64	26180.43	24578.729	41239.56	2694.2053	6163.438	19092.508	2754.056	5796.9834	21487.379	30452.814	26108.73	13724.612	52695.562	24577.29	18485.996	16424.104	54485.305	23380.643	17068.549	7443.2334	20123.99	20919.309	1.0E-5	2769.9114	10207.28	44608.09	3897.5374	25841.518	14482.85	39249.605	12687.107	78875.18	18739.18	3215.3225	10939.328	40437.58	16508.012	6436.4976	36848.293	59208.484	27437.998	88884.734	42420.332	24688.148	2890.9697	2442.8606	11095.836	49536.06	5428.329	39648.15	65096.676	22011.035	33905.363	10113.928	21739.402	86785.63	19195.453	3485.4692	49008.94	42067.668	27158.729	28444.352	6180.967	6060.603	45528.316	55719.87	44026.27	30091.518	18821.0	9263.076	13513.927	17293.691	4913.2236	5688.503	83738.01	36835.85	6322.0337	56798.18	68829.305	15678.179	11861.654	4813.4316	37564.52	44151.73	14621.505	11378.436	39545.37	27456.49	2549.9521	60343.484	31326.594	44388.24	3036.2336	31193.047	11135.533	89823.59	22366.35	8311.893	4860.6123	25579.98	8294797.0	1.2267837E7	1.1665689E7	5585971.0	7767099.0	7280947.5	1.0E-5	6416181.5	4523356.5	1.2097866E7	1.2316364E7	8318834.0	1.1299842E7	1.0E-5	5728113.0	1.4073407E7	5274662.5	6596531.0	1.1852447E7	682129.44	1.0E-5	1.0E-5	1.0E-5	1.934		215.0165	C74 - 1.934	0.0	1.83255
C80 - 15.039	162	19403.055	30541.232	26110.707	22239.324	18753.441	9859.182	17272.219	16367.64	15712.947	22941.936	13718.337	14008.891	17419.514	38489.0	32029.672	15882.361	25540.357	17796.35	15183.499	22566.854	14448.042	30858.15	14025.305	10541.668	22060.545	11573.84	16242.55	15193.964	20636.1	16806.215	31241.96	21484.857	24317.693	17273.445	14463.61	16328.073	14671.699	12613.721	17699.191	241785.23	12791.967	42169.14	21693.598	19691.201	13445.457	22010.885	13744.347	13058.633	17822.656	15863.563	12799.088	16071.953	10722.732	20682.346	9828.718	18317.57	16763.646	28445.797	13796.543	20098.62	13335.445	13825.431	20829.377	17550.607	18685.166	15078.914	10872.817	15142.61	14785.66	14411.948	21269.775	12627.587	25155.367	18798.94	18390.867	12181.774	19382.826	17702.688	17969.809	17286.031	14585.967	20166.521	16029.49	16049.81	19659.176	18922.713	19443.986	20118.453	15215.609	17802.287	27476.072	17361.865	25359.271	18034.695	15911.027	13412.176	19037.043	15706.371	56608.71	18157.344	17250.154	17713.572	17562.605	25475.947	12833.88	33811.41	17062.252	14468.282	17405.602	14431.399	10850.231	18767.604	27677.693	16815.1	18737.467	16042.488	22460.607	20962.78	24430.076	17995.066	23380.559	14625.258	22003.973	23447.61	14187.466	15852.866	20522.01	23735.887	29181.283	20858.729	17423.877	23339.797	22366.4	11124.042	27003.951	29220.805	33098.82	34367.332	17718.451	18365.467	18722.562	29201.215	31268.234	18817.264	14403.074	7818.5703	12717.6875	18820.066	11396.972	25615.924	12971.734	16831.822	11586.738	18281.404	32065.309	16446.365	19450.146	15993.407	17523.123	17291.191	14965.384	15763.468	11039.892	4688.1094	1.0E-5	8822.803	8701.05	1.0E-5	5691.441	9673.999	6014.1045	7643.8027	6940.0845	4917.5425	3647.7102	4042.1682	3813.4922	5655.9805	1.0E-5	6112.842	5423.089	5265.503	9931.722	15897.483	11491.021	15.039		328.3213	C80 - 15.039	0.0	15.078217
